figure	function	call	n	run	seconds	bytes
vector	quantile	quantile(x, c(.25,.5,.75))	300000	4	0.00688290596008301	3793956.8
vector	quantile	quantile(x, c(.25,.5,.75))	300000	5	0.0069279670715332	3793956.8
vector	quantile	quantile(x, c(.25,.5,.75))	300000	6	0.00696206092834473	3793956.8
vector	cor	cor(x, y)	300000	0	0.00227487087249756	119676.800000004
vector	cor	cor(x, y)	300000	1	0.0021364688873291	119676.800000004
vector	cor	cor(x, y)	300000	2	0.00202584266662598	119676.800000004
vector	cor	cor(x, y)	300000	3	0.00196123123168945	119676.800000004
vector	cor	cor(x, y)	300000	4	0.00194954872131348	119676.800000004
vector	cor	cor(x, y)	300000	5	0.00195884704589844	119676.800000004
vector	cor	cor(x, y)	300000	6	0.00192928314208984	119676.800000004
vector	cov	cov(x, y)	300000	0	0.00173985958099365	115244.800000004
vector	cov	cov(x, y)	300000	1	0.00153994560241699	115244.800000004
vector	cov	cov(x, y)	300000	2	0.00148558616638184	115244.800000004
vector	cov	cov(x, y)	300000	3	0.00145626068115234	115244.800000004
vector	cov	cov(x, y)	300000	4	0.00146245956420898	115244.800000004
vector	cov	cov(x, y)	300000	5	0.00146114826202393	115244.800000004
vector	cov	cov(x, y)	300000	6	0.0014650821685791	115244.800000004
vector	sum	sum(x)	1000000	0	0.000971635182698568	161835.200000003
vector	sum	sum(x)	1000000	1	0.000865618387858073	161835.200000003
vector	sum	sum(x)	1000000	2	0.000836769739786784	161835.200000003
vector	sum	sum(x)	1000000	3	0.000823338826497396	161835.200000003
vector	sum	sum(x)	1000000	4	0.000810543696085612	161835.200000003
vector	sum	sum(x)	1000000	5	0.000803152720133464	161835.200000003
vector	sum	sum(x)	1000000	6	0.000797430674235026	161835.200000003
vector	min	min(x)	1000000	0	0.00152039527893066	157571.200000003
vector	min	min(x)	1000000	1	0.00124430656433105	157571.200000003
vector	min	min(x)	1000000	2	0.00110018253326416	157571.200000003
vector	min	min(x)	1000000	3	0.00109422206878662	157571.200000003
vector	min	min(x)	1000000	4	0.00106275081634521	157571.200000003
vector	min	min(x)	1000000	5	0.0010683536529541	157571.200000003
vector	min	min(x)	1000000	6	0.00107252597808838	157571.200000003
vector	max	max(x)	1000000	0	0.00124943256378174	153131.200000003
vector	max	max(x)	1000000	1	0.00115084648132324	153131.200000003
vector	max	max(x)	1000000	2	0.00120174884796143	153131.200000003
vector	max	max(x)	1000000	3	0.00124514102935791	153131.200000003
vector	max	max(x)	1000000	4	0.00106966495513916	153131.200000003
vector	max	max(x)	1000000	5	0.00107085704803467	153131.200000003
vector	max	max(x)	1000000	6	0.00107240676879883	153131.200000003
vector	mean	mean(x)	1000000	0	0.00205278396606445	148867.200000003
vector	mean	mean(x)	1000000	1	0.00172519683837891	148867.200000003
vector	mean	mean(x)	1000000	2	0.00166165828704834	148867.200000003
vector	mean	mean(x)	1000000	3	0.00165140628814697	148867.200000003
vector	mean	mean(x)	1000000	4	0.0016019344329834	148867.200000003
vector	mean	mean(x)	1000000	5	0.0016639232635498	148867.200000003
vector	mean	mean(x)	1000000	6	0.00160360336303711	148867.200000003
vector	median	median(x)	1000000	0	0.0177333354949951	16187816
vector	median	median(x)	1000000	1	0.0168743133544922	16187816
vector	median	median(x)	1000000	2	0.0194628238677979	16187816
vector	median	median(x)	1000000	3	0.0172708034515381	16187816
vector	median	median(x)	1000000	4	0.0163760185241699	16187816
vector	median	median(x)	1000000	5	0.0131635665893555	16187816
vector	median	median(x)	1000000	6	0.0147104263305664	16187816
vector	sd	sd(x)	1000000	0	0.00377202033996582	140155.200000003
vector	sd	sd(x)	1000000	1	0.00343585014343262	140155.200000003
vector	sd	sd(x)	1000000	2	0.00290942192077637	140155.200000003
vector	sd	sd(x)	1000000	3	0.00295639038085938	140155.200000003
vector	sd	sd(x)	1000000	4	0.00283336639404297	140155.200000003
vector	sd	sd(x)	1000000	5	0.00286293029785156	140155.200000003
vector	sd	sd(x)	1000000	6	0.00325775146484375	140155.200000003
vector	var	var(x)	1000000	0	0.00342679023742676	135891.200000003
vector	var	var(x)	1000000	1	0.00293183326721191	135891.200000003
vector	var	var(x)	1000000	2	0.00293707847595215	135891.200000003
vector	var	var(x)	1000000	3	0.00288248062133789	135891.200000003
vector	var	var(x)	1000000	4	0.00280928611755371	135891.200000003
vector	var	var(x)	1000000	5	0.00281858444213867	135891.200000003
vector	var	var(x)	1000000	6	0.00292325019836426	135891.200000003
vector	quantile	quantile(x, c(.25,.5,.75))	1000000	0	0.0187833309173584	12085393.6
vector	quantile	quantile(x, c(.25,.5,.75))	1000000	1	0.0212235450744629	12085393.6
vector	quantile	quantile(x, c(.25,.5,.75))	1000000	2	0.0209457874298096	12085393.6
vector	quantile	quantile(x, c(.25,.5,.75))	1000000	3	0.0230374336242676	12085393.6
vector	quantile	quantile(x, c(.25,.5,.75))	1000000	4	0.0210244655609131	12085393.6
vector	quantile	quantile(x, c(.25,.5,.75))	1000000	5	0.0208315849304199	12085393.6
vector	quantile	quantile(x, c(.25,.5,.75))	1000000	6	0.0226757526397705	12085393.6
vector	cor	cor(x, y)	1000000	0	0.00727438926696777	127171.200000003
vector	cor	cor(x, y)	1000000	1	0.00734305381774902	127171.200000003
vector	cor	cor(x, y)	1000000	2	0.00661873817443848	127171.200000003
vector	cor	cor(x, y)	1000000	3	0.00664758682250977	127171.200000003
vector	cor	cor(x, y)	1000000	4	0.00647687911987305	127171.200000003
vector	cor	cor(x, y)	1000000	5	0.00654721260070801	127171.200000003
vector	cor	cor(x, y)	1000000	6	0.00645232200622559	127171.200000003
vector	cov	cov(x, y)	1000000	0	0.00582218170166016	122907.200000003
vector	cov	cov(x, y)	1000000	1	0.00497603416442871	122907.200000003
vector	cov	cov(x, y)	1000000	2	0.00487637519836426	122907.200000003
vector	cov	cov(x, y)	1000000	3	0.00552177429199219	122907.200000003
vector	cov	cov(x, y)	1000000	4	0.00539255142211914	122907.200000003
vector	cov	cov(x, y)	1000000	5	0.00495219230651855	122907.200000003
vector	cov	cov(x, y)	1000000	6	0.0049889087677002	122907.200000003
transform	rank	rank(x)	1000	0	0.000126361846923828	145587.200000003
transform	rank	rank(x)	1000	1	0.000110983848571777	145587.200000003
transform	rank	rank(x)	1000	2	0.000104427337646484	145587.200000003
transform	rank	rank(x)	1000	3	0.000102639198303223	145587.200000003
transform	rank	rank(x)	1000	4	0.000100255012512207	145587.200000003
transform	rank	rank(x)	1000	5	9.94205474853516e-05	145587.200000003
transform	rank	rank(x)	1000	6	0.000103116035461426	145587.200000003
transform	uniq	unique(x)	1000	0	2.39213307698568e-05	139955.200000003
transform	uniq	unique(x)	1000	1	1.47024790445964e-05	139955.200000003
transform	uniq	unique(x)	1000	2	1.44640604654948e-05	139955.200000003
transform	uniq	unique(x)	1000	3	1.23977661132812e-05	139955.200000003
transform	uniq	unique(x)	1000	4	1.22388203938802e-05	139955.200000003
transform	uniq	unique(x)	1000	5	1.20798746744792e-05	139955.200000003
transform	uniq	unique(x)	1000	6	1.48614247639974e-05	139955.200000003
transform	scale	scale(x)	1000	0	0.00013422966003418	255326.400000006
transform	scale	scale(x)	1000	1	9.07182693481445e-05	255326.400000006
transform	scale	scale(x)	1000	2	8.97645950317383e-05	255326.400000006
transform	scale	scale(x)	1000	3	8.71419906616211e-05	255326.400000006
transform	scale	scale(x)	1000	4	8.30888748168945e-05	255326.400000006
transform	scale	scale(x)	1000	5	8.07046890258789e-05	255326.400000006
transform	scale	scale(x)	1000	6	7.55786895751953e-05	255326.400000006
transform	sample	sample(x, n %/% 10)	1000	0	2.33650207519531e-05	127556.800000004
transform	sample	sample(x, n %/% 10)	1000	1	1.22785568237305e-05	127556.800000004
transform	sample	sample(x, n %/% 10)	1000	2	1.10864639282227e-05	127556.800000004
transform	sample	sample(x, n %/% 10)	1000	3	9.29832458496094e-06	127556.800000004
transform	sample	sample(x, n %/% 10)	1000	4	8.82148742675781e-06	127556.800000004
transform	sample	sample(x, n %/% 10)	1000	5	8.94069671630859e-06	127556.800000004
transform	sample	sample(x, n %/% 10)	1000	6	8.58306884765625e-06	127556.800000004
transform	seq	seq(1, n)	1000	0	1.11262003580729e-05	89942.3999999985
transform	seq	seq(1, n)	1000	1	5.7220458984375e-06	89942.3999999985
transform	seq	seq(1, n)	1000	2	4.76837158203125e-06	89942.3999999985
transform	seq	seq(1, n)	1000	3	4.29153442382812e-06	89942.3999999985
transform	seq	seq(1, n)	1000	4	4.29153442382812e-06	89942.3999999985
transform	seq	seq(1, n)	1000	5	4.13258870442708e-06	89942.3999999985
transform	seq	seq(1, n)	1000	6	4.13258870442708e-06	89942.3999999985
transform	auc	pROC::auc(roc(label, y))	1000	0	0.000922918319702148	1141844.8
transform	auc	pROC::auc(roc(label, y))	1000	1	0.00074315071105957	1141844.8
transform	auc	pROC::auc(roc(label, y))	1000	2	0.000735759735107422	1141844.8
transform	auc	pROC::auc(roc(label, y))	1000	3	0.000714302062988281	1141844.8
transform	auc	pROC::auc(roc(label, y))	1000	4	0.000708341598510742	1141844.8
transform	auc	pROC::auc(roc(label, y))	1000	5	0.000676870346069336	1141844.8
transform	auc	pROC::auc(roc(label, y))	1000	6	0.000690221786499023	1141844.8
transform	rank	rank(x)	3000	0	0.000348687171936035	258584
transform	rank	rank(x)	3000	1	0.000329772631327311	258584
transform	rank	rank(x)	3000	2	0.000320911407470703	258584
transform	rank	rank(x)	3000	3	0.000313242276509603	258584
transform	rank	rank(x)	3000	4	0.000307559967041016	258584
transform	rank	rank(x)	3000	5	0.000306129455566406	258584
transform	rank	rank(x)	3000	6	0.000314950942993164	258584
transform	uniq	unique(x)	3000	0	3.12283353985481e-05	149462.400000006
transform	uniq	unique(x)	3000	1	2.94694360697045e-05	149462.400000006
transform	uniq	unique(x)	3000	2	2.87361864773732e-05	149462.400000006
transform	uniq	unique(x)	3000	3	2.86237248834574e-05	149462.400000006
transform	uniq	unique(x)	3000	4	3.04006180673275e-05	149462.400000006
transform	uniq	unique(x)	3000	5	2.94559406784346e-05	149462.400000006
transform	uniq	unique(x)	3000	6	2.94469437509213e-05	149462.400000006
transform	scale	scale(x)	3000	0	0.000109873319927015	459771.200000003
transform	scale	scale(x)	3000	1	0.000106987200285259	459771.200000003
transform	scale	scale(x)	3000	2	0.00011603455794485	459771.200000003
transform	scale	scale(x)	3000	3	9.91444838674445e-05	459771.200000003
transform	scale	scale(x)	3000	4	0.00010018599660773	459771.200000003
transform	scale	scale(x)	3000	5	9.23934735749897e-05	459771.200000003
transform	scale	scale(x)	3000	6	0.000113876242386667	459771.200000003
transform	sample	sample(x, n %/% 10)	3000	0	1.40817541825144e-05	140710.400000006
transform	sample	sample(x, n %/% 10)	3000	1	1.40064641049034e-05	140710.400000006
transform	sample	sample(x, n %/% 10)	3000	2	1.44983592786287e-05	140710.400000006
transform	sample	sample(x, n %/% 10)	3000	3	1.28796226099918e-05	140710.400000006
transform	sample	sample(x, n %/% 10)	3000	4	1.25809719688014e-05	140710.400000006
transform	sample	sample(x, n %/% 10)	3000	5	1.22095409192537e-05	140710.400000006
transform	sample	sample(x, n %/% 10)	3000	6	1.21116638183594e-05	140710.400000006
transform	seq	seq(1, n)	3000	0	3.42013789158241e-06	136446.400000006
transform	seq	seq(1, n)	3000	1	3.55944913976333e-06	136446.400000006
transform	seq	seq(1, n)	3000	2	3.60432793112362e-06	136446.400000006
transform	seq	seq(1, n)	3000	3	3.2957862405216e-06	136446.400000006
transform	seq	seq(1, n)	3000	4	3.1891991110409e-06	136446.400000006
transform	seq	seq(1, n)	3000	5	3.18265428730086e-06	136446.400000006
transform	seq	seq(1, n)	3000	6	3.10411640242034e-06	136446.400000006
transform	auc	pROC::auc(roc(label, y))	3000	0	0.001717209815979	2648764.8
transform	auc	pROC::auc(roc(label, y))	3000	1	0.0015106201171875	2648764.8
transform	auc	pROC::auc(roc(label, y))	3000	2	0.0014117956161499	2648764.8
transform	auc	pROC::auc(roc(label, y))	3000	3	0.00144124031066895	2648764.8
transform	auc	pROC::auc(roc(label, y))	3000	4	0.00139784812927246	2648764.8
transform	auc	pROC::auc(roc(label, y))	3000	5	0.0013427734375	2648764.8
transform	auc	pROC::auc(roc(label, y))	3000	6	0.00133728981018066	2648764.8
transform	rank	rank(x)	10000	0	0.0013267993927002	512142.400000006
transform	rank	rank(x)	10000	1	0.00125432014465332	512142.400000006
transform	rank	rank(x)	10000	2	0.00124824047088623	512142.400000006
transform	rank	rank(x)	10000	3	0.0012519359588623	512142.400000006
transform	rank	rank(x)	10000	4	0.00121283531188965	512142.400000006
transform	rank	rank(x)	10000	5	0.00120079517364502	512142.400000006
transform	rank	rank(x)	10000	6	0.0012812614440918	512142.400000006
transform	uniq	unique(x)	10000	0	0.000103988145527087	297931.200000003
transform	uniq	unique(x)	10000	1	9.84041314376028e-05	297931.200000003
transform	uniq	unique(x)	10000	2	9.34600830078125e-05	297931.200000003
transform	uniq	unique(x)	10000	3	9.79272942793997e-05	297931.200000003
transform	uniq	unique(x)	10000	4	9.41376937063117e-05	297931.200000003
transform	uniq	unique(x)	10000	5	9.25440537302118e-05	297931.200000003
transform	uniq	unique(x)	10000	6	0.000133087760523746	297931.200000003
transform	scale	scale(x)	10000	0	0.000272035598754883	1132528.00000001
transform	scale	scale(x)	10000	1	0.000238895416259766	1132528.00000001
transform	scale	scale(x)	10000	2	0.000254964828491211	1132528.00000001
transform	scale	scale(x)	10000	3	0.000304603576660156	1132528.00000001
transform	scale	scale(x)	10000	4	0.000424623489379883	1132528.00000001
transform	scale	scale(x)	10000	5	0.00042567253112793	1132528.00000001
transform	scale	scale(x)	10000	6	0.000419807434082031	1132528.00000001
transform	sample	sample(x, n %/% 10)	10000	0	4.48558065626356e-05	184545.600000001
transform	sample	sample(x, n %/% 10)	10000	1	4.31868765089247e-05	184545.600000001
transform	sample	sample(x, n %/% 10)	10000	2	4.14053599039714e-05	184545.600000001
transform	sample	sample(x, n %/% 10)	10000	3	4.04384401109484e-05	184545.600000001
transform	sample	sample(x, n %/% 10)	10000	4	4.0537781185574e-05	184545.600000001
transform	sample	sample(x, n %/% 10)	10000	5	4.08622953626845e-05	184545.600000001
transform	sample	sample(x, n %/% 10)	10000	6	3.89085875617133e-05	184545.600000001
transform	seq	seq(1, n)	10000	0	3.40918190458901e-06	75424
transform	seq	seq(1, n)	10000	1	3.44076727190588e-06	75424
transform	seq	seq(1, n)	10000	2	3.21661305223775e-06	75424
transform	seq	seq(1, n)	10000	3	3.22476411477113e-06	75424
transform	seq	seq(1, n)	10000	4	3.11268700493707e-06	75424
transform	seq	seq(1, n)	10000	5	3.12083806747045e-06	75424
transform	seq	seq(1, n)	10000	6	3.10963035648705e-06	75424
transform	auc	pROC::auc(roc(label, y))	10000	0	0.00373697280883789	7515801.6
transform	auc	pROC::auc(roc(label, y))	10000	1	0.00338411331176758	7515801.6
transform	auc	pROC::auc(roc(label, y))	10000	2	0.00332450866699219	7515801.6
transform	auc	pROC::auc(roc(label, y))	10000	3	0.00328946113586426	7515801.6
transform	auc	pROC::auc(roc(label, y))	10000	4	0.00385141372680664	7515801.6
transform	auc	pROC::auc(roc(label, y))	10000	5	0.00491952896118164	7515801.6
transform	auc	pROC::auc(roc(label, y))	10000	6	0.00489401817321777	7515801.6
transform	rank	rank(x)	30000	0	0.00455307960510254	1239448
transform	rank	rank(x)	30000	1	0.00425553321838379	1239448
transform	rank	rank(x)	30000	2	0.00420546531677246	1239448
transform	rank	rank(x)	30000	3	0.00400805473327637	1239448
transform	rank	rank(x)	30000	4	0.00417828559875488	1239448
transform	rank	rank(x)	30000	5	0.004150390625	1239448
transform	rank	rank(x)	30000	6	0.00423312187194824	1239448
transform	uniq	unique(x)	30000	0	0.000423610210418701	710896
transform	uniq	unique(x)	30000	1	0.000405311584472656	710896
transform	uniq	unique(x)	30000	2	0.000449776649475098	710896
transform	uniq	unique(x)	30000	3	0.000506699085235596	710896
transform	uniq	unique(x)	30000	4	0.000508010387420654	710896
transform	uniq	unique(x)	30000	5	0.000492095947265625	710896
transform	uniq	unique(x)	30000	6	0.000492751598358154	710896
transform	scale	scale(x)	30000	0	0.00063478946685791	2908641.60000001
transform	scale	scale(x)	30000	1	0.000560760498046875	2908641.60000001
transform	scale	scale(x)	30000	2	0.000540733337402344	2908641.60000001
transform	scale	scale(x)	30000	3	0.000528573989868164	2908641.60000001
transform	scale	scale(x)	30000	4	0.00108182430267334	2908641.60000001
transform	scale	scale(x)	30000	5	0.00113940238952637	2908641.60000001
transform	scale	scale(x)	30000	6	0.00114893913269043	2908641.60000001
transform	sample	sample(x, n %/% 10)	30000	0	7.22181229364304e-05	282681.600000009
transform	sample	sample(x, n %/% 10)	30000	1	6.88916160946801e-05	282681.600000009
transform	sample	sample(x, n %/% 10)	30000	2	7.13552747453962e-05	282681.600000009
transform	sample	sample(x, n %/% 10)	30000	3	9.918212890625e-05	282681.600000009
transform	sample	sample(x, n %/% 10)	30000	4	9.95340801420666e-05	282681.600000009
transform	sample	sample(x, n %/% 10)	30000	5	9.50495402018229e-05	282681.600000009
transform	sample	sample(x, n %/% 10)	30000	6	9.31308383033389e-05	282681.600000009
transform	seq	seq(1, n)	30000	0	3.42665886392399e-06	173560.000000007
transform	seq	seq(1, n)	30000	1	3.26000914281728e-06	173560.000000007
transform	seq	seq(1, n)	30000	2	3.16269543706154e-06	173560.000000007
transform	seq	seq(1, n)	30000	3	3.18580744217853e-06	173560.000000007
transform	seq	seq(1, n)	30000	4	3.14566553855429e-06	173560.000000007
transform	seq	seq(1, n)	30000	5	3.28555399057816e-06	173560.000000007
transform	seq	seq(1, n)	30000	6	3.35610642725108e-06	173560.000000007
transform	auc	pROC::auc(roc(label, y))	30000	0	0.0105376243591309	21769961.6
transform	auc	pROC::auc(roc(label, y))	30000	1	0.0146427154541016	21769961.6
transform	auc	pROC::auc(roc(label, y))	30000	2	0.0151760578155518	21769961.6
transform	auc	pROC::auc(roc(label, y))	30000	3	0.0100860595703125	21769961.6
transform	auc	pROC::auc(roc(label, y))	30000	4	0.00988411903381348	21769961.6
transform	auc	pROC::auc(roc(label, y))	30000	5	0.0114946365356445	21769961.6
transform	auc	pROC::auc(roc(label, y))	30000	6	0.00990605354309082	21769961.6
transform	rank	rank(x)	100000	0	0.0178897380828857	4112705.60000001
transform	rank	rank(x)	100000	1	0.0172016620635986	4112705.60000001
transform	rank	rank(x)	100000	2	0.0180237293243408	4112705.60000001
transform	rank	rank(x)	100000	3	0.0181331634521484	4112705.60000001
transform	rank	rank(x)	100000	4	0.0178003311157227	4112705.60000001
transform	rank	rank(x)	100000	5	0.0178077220916748	4112705.60000001
transform	rank	rank(x)	100000	6	0.0179226398468018	4112705.60000001
transform	uniq	unique(x)	100000	0	0.00154399871826172	2430720.00000001
transform	uniq	unique(x)	100000	1	0.00195002555847168	2430720.00000001
transform	uniq	unique(x)	100000	2	0.0020296573638916	2430720.00000001
transform	uniq	unique(x)	100000	3	0.00192594528198242	2430720.00000001
transform	uniq	unique(x)	100000	4	0.00181031227111816	2430720.00000001
transform	uniq	unique(x)	100000	5	0.00179553031921387	2430720.00000001
transform	uniq	unique(x)	100000	6	0.00181436538696289	2430720.00000001
transform	scale	scale(x)	100000	0	0.0018470287322998	9346785.60000001
transform	scale	scale(x)	100000	1	0.00384330749511719	9346785.60000001
transform	scale	scale(x)	100000	2	0.00368952751159668	9346785.60000001
transform	scale	scale(x)	100000	3	0.00364041328430176	9346785.60000001
transform	scale	scale(x)	100000	4	0.0035552978515625	9346785.60000001
transform	scale	scale(x)	100000	5	0.00388383865356445	9346785.60000001
transform	scale	scale(x)	100000	6	0.00330162048339844	9346785.60000001
transform	sample	sample(x, n %/% 10)	100000	0	0.0003890593846639	639340.800000004
transform	sample	sample(x, n %/% 10)	100000	1	0.000352144241333008	639340.800000004
transform	sample	sample(x, n %/% 10)	100000	2	0.00032965342203776	639340.800000004
transform	sample	sample(x, n %/% 10)	100000	3	0.000348091125488281	639340.800000004
transform	sample	sample(x, n %/% 10)	100000	4	0.000427683194478353	639340.800000004
transform	sample	sample(x, n %/% 10)	100000	5	0.000414371490478516	639340.800000004
transform	sample	sample(x, n %/% 10)	100000	6	0.000410874684651693	639340.800000004
transform	seq	seq(1, n)	100000	0	3.29434645039954e-06	110788.800000004
transform	seq	seq(1, n)	100000	1	3.25899160406889e-06	110788.800000004
transform	seq	seq(1, n)	100000	2	3.11485261518239e-06	110788.800000004
transform	seq	seq(1, n)	100000	3	3.07405856172395e-06	110788.800000004
transform	seq	seq(1, n)	100000	4	2.98884431672187e-06	110788.800000004
transform	seq	seq(1, n)	100000	5	3.01422728331823e-06	110788.800000004
transform	seq	seq(1, n)	100000	6	2.94986333230602e-06	110788.800000004
transform	auc	pROC::auc(roc(label, y))	100000	0	0.0432736873626709	55576195.2
transform	auc	pROC::auc(roc(label, y))	100000	1	0.0323095321655273	55576195.2
transform	auc	pROC::auc(roc(label, y))	100000	2	0.0342502593994141	55576195.2
transform	auc	pROC::auc(roc(label, y))	100000	3	0.0346333980560303	55576195.2
transform	auc	pROC::auc(roc(label, y))	100000	4	0.0357489585876465	55576195.2
transform	auc	pROC::auc(roc(label, y))	100000	5	0.0338547229766846	55576195.2
transform	auc	pROC::auc(roc(label, y))	100000	6	0.0341796875	55576195.2
transform	rank	rank(x)	300000	0	0.0665092468261719	12145409.6
transform	rank	rank(x)	300000	1	0.0685029029846191	12145409.6
transform	rank	rank(x)	300000	2	0.0673656463623047	12145409.6
transform	rank	rank(x)	300000	3	0.067840576171875	12145409.6
transform	rank	rank(x)	300000	4	0.0668294429779053	12145409.6
transform	rank	rank(x)	300000	5	0.0648195743560791	12145409.6
transform	rank	rank(x)	300000	6	0.0649504661560059	12145409.6
transform	uniq	unique(x)	300000	0	0.00454115867614746	7946553.60000001
transform	uniq	unique(x)	300000	1	0.00600957870483398	7946553.60000001
transform	uniq	unique(x)	300000	2	0.00560522079467773	7946553.60000001
transform	uniq	unique(x)	300000	3	0.00640368461608887	7946553.60000001
transform	uniq	unique(x)	300000	4	0.00637340545654297	7946553.60000001
transform	uniq	unique(x)	300000	5	0.00558376312255859	7946553.60000001
transform	uniq	unique(x)	300000	6	0.00858736038208008	7946553.60000001
transform	scale	scale(x)	300000	0	0.0113506317138672	27760376
transform	scale	scale(x)	300000	1	0.0115866661071777	27760376
transform	scale	scale(x)	300000	2	0.00510931015014648	27760376
transform	scale	scale(x)	300000	3	0.00641131401062012	27760376
transform	scale	scale(x)	300000	4	0.00615787506103516	27760376
transform	scale	scale(x)	300000	5	0.00483989715576172	27760376
transform	scale	scale(x)	300000	6	0.006683349609375	27760376
transform	sample	sample(x, n %/% 10)	300000	0	0.0017704963684082	1646569.60000001
transform	sample	sample(x, n %/% 10)	300000	1	0.00193643569946289	1646569.60000001
transform	sample	sample(x, n %/% 10)	300000	2	0.00196146965026855	1646569.60000001
transform	sample	sample(x, n %/% 10)	300000	3	0.00187194347381592	1646569.60000001
transform	sample	sample(x, n %/% 10)	300000	4	0.00178635120391846	1646569.60000001
transform	sample	sample(x, n %/% 10)	300000	5	0.00169527530670166	1646569.60000001
transform	sample	sample(x, n %/% 10)	300000	6	0.00167953968048096	1646569.60000001
transform	seq	seq(1, n)	300000	0	3.28269659304151e-06	174299.200000003
transform	seq	seq(1, n)	300000	1	3.22753307866115e-06	174299.200000003
transform	seq	seq(1, n)	300000	2	3.15740996716069e-06	174299.200000003
transform	seq	seq(1, n)	300000	3	3.12655579810049e-06	174299.200000003
transform	seq	seq(1, n)	300000	4	3.32944533404182e-06	174299.200000003
transform	seq	seq(1, n)	300000	5	3.35094975490196e-06	174299.200000003
transform	seq	seq(1, n)	300000	6	2.99659429811964e-06	174299.200000003
transform	auc	pROC::auc(roc(label, y))	300000	0	0.124907493591309	63818598.4
transform	auc	pROC::auc(roc(label, y))	300000	1	0.151978731155396	63818598.4
transform	auc	pROC::auc(roc(label, y))	300000	2	0.145258903503418	63818598.4
transform	auc	pROC::auc(roc(label, y))	300000	3	0.148367404937744	63818598.4
transform	auc	pROC::auc(roc(label, y))	300000	4	0.142010927200317	63818598.4
transform	auc	pROC::auc(roc(label, y))	300000	5	0.11655330657959	63818598.4
transform	auc	pROC::auc(roc(label, y))	300000	6	0.120721340179443	63818598.4
transform	rank	rank(x)	1000000	0	0.320802450180054	40167075.2
transform	rank	rank(x)	1000000	1	0.301846504211426	40167075.2
transform	rank	rank(x)	1000000	2	0.300005197525024	40167075.2
transform	rank	rank(x)	1000000	3	0.300407409667969	40167075.2
transform	rank	rank(x)	1000000	4	0.300926685333252	40167075.2
transform	rank	rank(x)	1000000	5	0.30765962600708	40167075.2
transform	rank	rank(x)	1000000	6	0.30799412727356	40167075.2
transform	uniq	unique(x)	1000000	0	0.0328452587127686	20554440
transform	uniq	unique(x)	1000000	1	0.0265114307403564	20554440
transform	uniq	unique(x)	1000000	2	0.0306859016418457	20554440
transform	uniq	unique(x)	1000000	3	0.0274367332458496	20554440
transform	uniq	unique(x)	1000000	4	0.0269114971160889	20554440
transform	uniq	unique(x)	1000000	5	0.0257928371429443	20554440
transform	uniq	unique(x)	1000000	6	0.0314846038818359	20554440
transform	scale	scale(x)	1000000	0	0.0361149311065674	64066080
transform	scale	scale(x)	1000000	1	0.0214776992797852	64066080
transform	scale	scale(x)	1000000	2	0.0523674488067627	64066080
transform	scale	scale(x)	1000000	3	0.0267832279205322	64066080
transform	scale	scale(x)	1000000	4	0.0254018306732178	64066080
transform	scale	scale(x)	1000000	5	0.023090124130249	64066080
transform	scale	scale(x)	1000000	6	0.0266985893249512	64066080
transform	sample	sample(x, n %/% 10)	1000000	0	0.00499796867370605	5341560
transform	sample	sample(x, n %/% 10)	1000000	1	0.00719094276428223	5341560
transform	sample	sample(x, n %/% 10)	1000000	2	0.0047004222869873	5341560
transform	sample	sample(x, n %/% 10)	1000000	3	0.00543880462646484	5341560
transform	sample	sample(x, n %/% 10)	1000000	4	0.00494790077209473	5341560
transform	sample	sample(x, n %/% 10)	1000000	5	0.00484776496887207	5341560
transform	sample	sample(x, n %/% 10)	1000000	6	0.00526332855224609	5341560
transform	seq	seq(1, n)	1000000	0	3.49968267242294e-06	94416.0000000075
transform	seq	seq(1, n)	1000000	1	3.24831828812129e-06	94416.0000000075
transform	seq	seq(1, n)	1000000	2	3.1274907729205e-06	94416.0000000075
transform	seq	seq(1, n)	1000000	3	3.03902777071992e-06	94416.0000000075
transform	seq	seq(1, n)	1000000	4	3.36267290072204e-06	94416.0000000075
transform	seq	seq(1, n)	1000000	5	3.03147605101987e-06	94416.0000000075
transform	seq	seq(1, n)	1000000	6	3.26881581302142e-06	94416.0000000075
transform	auc	pROC::auc(roc(label, y))	1000000	0	0.546538352966309	180235196.8
transform	auc	pROC::auc(roc(label, y))	1000000	1	0.454263210296631	180235196.8
transform	auc	pROC::auc(roc(label, y))	1000000	2	0.446732759475708	180235196.8
transform	auc	pROC::auc(roc(label, y))	1000000	3	0.446143865585327	180235196.8
transform	auc	pROC::auc(roc(label, y))	1000000	4	0.445458889007568	180235196.8
transform	auc	pROC::auc(roc(label, y))	1000000	5	0.471693515777588	180235196.8
transform	auc	pROC::auc(roc(label, y))	1000000	6	0.438502550125122	180235196.8
io	read_table (csv, numeric)	read.csv(num.csv)	1000	0	0.00127029418945312	729081.600000001
io	read_table (csv, numeric)	read.csv(num.csv)	1000	1	0.00106346607208252	729081.600000001
io	read_table (csv, numeric)	read.csv(num.csv)	1000	2	0.000942468643188477	729081.600000001
io	read_table (csv, numeric)	read.csv(num.csv)	1000	3	0.00106310844421387	729081.600000001
io	read_table (csv, numeric)	read.csv(num.csv)	1000	4	0.000967502593994141	729081.600000001
io	read_table (csv, numeric)	read.csv(num.csv)	1000	5	0.000963807106018066	729081.600000001
