figure	function	call	n	run	seconds	bytes
vector	min	min(x)	3000	5	3.72975461396129e-06	76350.3999999985
vector	min	min(x)	3000	6	3.71141472326117e-06	76350.3999999985
vector	max	max(x)	3000	0	4.03182847159249e-06	72046.3999999985
vector	max	max(x)	3000	1	3.94667897905622e-06	72046.3999999985
vector	max	max(x)	3000	2	3.79340989249093e-06	72046.3999999985
vector	max	max(x)	3000	3	3.83853912353516e-06	72046.3999999985
vector	max	max(x)	3000	4	3.73550823756627e-06	72046.3999999985
vector	max	max(x)	3000	5	3.68952751159668e-06	72046.3999999985
vector	max	max(x)	3000	6	3.67845807756696e-06	72046.3999999985
vector	mean	mean(x)	3000	0	7.72301439215375e-06	67702.3999999985
vector	mean	mean(x)	3000	1	7.45588572237504e-06	67702.3999999985
vector	mean	mean(x)	3000	2	7.13508166567817e-06	67702.3999999985
vector	mean	mean(x)	3000	3	7.07890974913592e-06	67702.3999999985
vector	mean	mean(x)	3000	4	7.03522048071417e-06	67702.3999999985
vector	mean	mean(x)	3000	5	6.99777253635267e-06	67702.3999999985
vector	mean	mean(x)	3000	6	6.97405550492372e-06	67702.3999999985
vector	median	median(x)	3000	0	4.85738118489583e-05	168256
vector	median	median(x)	3000	1	4.87089157104492e-05	168256
vector	median	median(x)	3000	2	4.60624694824219e-05	168256
vector	median	median(x)	3000	3	4.28120295206706e-05	168256
vector	median	median(x)	3000	4	4.06185785929362e-05	168256
vector	median	median(x)	3000	5	4.2120615641276e-05	168256
vector	median	median(x)	3000	6	4.10318374633789e-05	168256
vector	sd	sd(x)	3000	0	1.47062998551589e-05	59086.3999999985
vector	sd	sd(x)	3000	1	1.40873285440298e-05	59086.3999999985
vector	sd	sd(x)	3000	2	1.38810047736535e-05	59086.3999999985
vector	sd	sd(x)	3000	3	1.34591872875507e-05	59086.3999999985
vector	sd	sd(x)	3000	4	1.34660647465633e-05	59086.3999999985
vector	sd	sd(x)	3000	5	1.30648796374981e-05	59086.3999999985
vector	sd	sd(x)	3000	6	1.32184762221116e-05	59086.3999999985
