figure	function	call	n	run	seconds	bytes	version
vector	skew	scipy.stats.skew(x)	1000	4	0.000275010	20427	3.14.2
vector	skew	scipy.stats.skew(x)	1000	5	0.000271428	20427	3.14.2
vector	skew	scipy.stats.skew(x)	1000	6	0.000287592	20427	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	1000	0	0.000308575	20445	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	1000	1	0.000293020	20445	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	1000	2	0.000285775	20445	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	1000	3	0.000280515	20445	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	1000	4	0.000277673	20445	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	1000	5	0.000281727	20445	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	1000	6	0.000287472	20445	3.14.2
vector	sum	np.sum(x)	3000	0	0.000002189	128	3.14.2
vector	sum	np.sum(x)	3000	1	0.000002194	128	3.14.2
vector	sum	np.sum(x)	3000	2	0.000002179	128	3.14.2
vector	sum	np.sum(x)	3000	3	0.000002197	128	3.14.2
vector	sum	np.sum(x)	3000	4	0.000002188	128	3.14.2
vector	sum	np.sum(x)	3000	5	0.000002183	128	3.14.2
vector	sum	np.sum(x)	3000	6	0.000002192	128	3.14.2
vector	min	np.min(x)	3000	0	0.000002050	128	3.14.2
vector	min	np.min(x)	3000	1	0.000002037	128	3.14.2
vector	min	np.min(x)	3000	2	0.000002036	128	3.14.2
vector	min	np.min(x)	3000	3	0.000002038	128	3.14.2
vector	min	np.min(x)	3000	4	0.000002050	128	3.14.2
vector	min	np.min(x)	3000	5	0.000002021	128	3.14.2
vector	min	np.min(x)	3000	6	0.000002029	128	3.14.2
vector	max	np.max(x)	3000	0	0.000002048	128	3.14.2
vector	max	np.max(x)	3000	1	0.000002062	128	3.14.2
vector	max	np.max(x)	3000	2	0.000002033	128	3.14.2
vector	max	np.max(x)	3000	3	0.000002024	128	3.14.2
vector	max	np.max(x)	3000	4	0.000002035	128	3.14.2
vector	max	np.max(x)	3000	5	0.000002029	128	3.14.2
vector	max	np.max(x)	3000	6	0.000002034	128	3.14.2
vector	mean	np.mean(x)	3000	0	0.000003018	152	3.14.2
vector	mean	np.mean(x)	3000	1	0.000003020	152	3.14.2
vector	mean	np.mean(x)	3000	2	0.000003004	152	3.14.2
vector	mean	np.mean(x)	3000	3	0.000003027	152	3.14.2
vector	mean	np.mean(x)	3000	4	0.000003040	152	3.14.2
vector	mean	np.mean(x)	3000	5	0.000003036	152	3.14.2
vector	mean	np.mean(x)	3000	6	0.000003040	152	3.14.2
vector	median	np.median(x)	3000	0	0.000019353	27272	3.14.2
vector	median	np.median(x)	3000	1	0.000016135	27272	3.14.2
vector	median	np.median(x)	3000	2	0.000016059	27272	3.14.2
vector	median	np.median(x)	3000	3	0.000016307	27272	3.14.2
vector	median	np.median(x)	3000	4	0.000016057	27272	3.14.2
vector	median	np.median(x)	3000	5	0.000015848	27272	3.14.2
vector	median	np.median(x)	3000	6	0.000016070	27272	3.14.2
vector	sd	np.std(x, ddof=1)	3000	0	0.000009956	25280	3.14.2
vector	sd	np.std(x, ddof=1)	3000	1	0.000009608	25280	3.14.2
vector	sd	np.std(x, ddof=1)	3000	2	0.000009473	25280	3.14.2
vector	sd	np.std(x, ddof=1)	3000	3	0.000009465	25280	3.14.2
vector	sd	np.std(x, ddof=1)	3000	4	0.000009572	25280	3.14.2
vector	sd	np.std(x, ddof=1)	3000	5	0.000009441	25280	3.14.2
vector	sd	np.std(x, ddof=1)	3000	6	0.000009675	25280	3.14.2
vector	var	np.var(x, ddof=1)	3000	0	0.000009028	25280	3.14.2
vector	var	np.var(x, ddof=1)	3000	1	0.000009031	25280	3.14.2
vector	var	np.var(x, ddof=1)	3000	2	0.000008999	25280	3.14.2
vector	var	np.var(x, ddof=1)	3000	3	0.000009028	25280	3.14.2
vector	var	np.var(x, ddof=1)	3000	4	0.000009055	25280	3.14.2
vector	var	np.var(x, ddof=1)	3000	5	0.000009161	25280	3.14.2
vector	var	np.var(x, ddof=1)	3000	6	0.000009041	25280	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	3000	0	0.000066311	28384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	3000	1	0.000061495	28384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	3000	2	0.000060572	28384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	3000	3	0.000060684	28384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	3000	4	0.000059406	28384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	3000	5	0.000060958	28384	3.14.2
vector	quantile	np.quantile(x, [.25,.5,.75])	3000	6	0.000061657	28384	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	3000	0	0.000033787	97528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	3000	1	0.000031828	97528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	3000	2	0.000032042	97528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	3000	3	0.000032084	97528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	3000	4	0.000032142	97528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	3000	5	0.000032203	97528	3.14.2
vector	cor	np.corrcoef(x, y)[0, 1]	3000	6	0.000031733	97528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	3000	0	0.000025330	97528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	3000	1	0.000025388	97528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	3000	2	0.000025287	97528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	3000	3	0.000025185	97528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	3000	4	0.000025162	97528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	3000	5	0.000025141	97528	3.14.2
vector	cov	np.cov(x, y)[0, 1]	3000	6	0.000025266	97528	3.14.2
vector	skew	scipy.stats.skew(x)	3000	0	0.000333392	52338	3.14.2
vector	skew	scipy.stats.skew(x)	3000	1	0.000321453	52338	3.14.2
vector	skew	scipy.stats.skew(x)	3000	2	0.000321650	52338	3.14.2
vector	skew	scipy.stats.skew(x)	3000	3	0.000308377	52338	3.14.2
vector	skew	scipy.stats.skew(x)	3000	4	0.000304169	52338	3.14.2
vector	skew	scipy.stats.skew(x)	3000	5	0.000313893	52338	3.14.2
vector	skew	scipy.stats.skew(x)	3000	6	0.000309318	52338	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	3000	0	0.000344221	52166	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	3000	1	0.000319036	52166	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	3000	2	0.000312976	52166	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	3000	3	0.000307785	52166	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	3000	4	0.000307820	52166	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	3000	5	0.000314017	52166	3.14.2
vector	kurtosis	scipy.stats.kurtosis(x)	3000	6	0.000316492	52166	3.14.2
vector	sum	np.sum(x)	10000	0	0.000003441	128	3.14.2
vector	sum	np.sum(x)	10000	1	0.000003487	128	3.14.2
vector	sum	np.sum(x)	10000	2	0.000003471	128	3.14.2
vector	sum	np.sum(x)	10000	3	0.000003472	128	3.14.2
vector	sum	np.sum(x)	10000	4	0.000003484	128	3.14.2
vector	sum	np.sum(x)	10000	5	0.000003502	128	3.14.2
vector	sum	np.sum(x)	10000	6	0.000003468	128	3.14.2
vector	min	np.min(x)	10000	0	0.000003101	128	3.14.2
vector	min	np.min(x)	10000	1	0.000003037	128	3.14.2
vector	min	np.min(x)	10000	2	0.000003025	128	3.14.2
vector	min	np.min(x)	10000	3	0.000003026	128	3.14.2
vector	min	np.min(x)	10000	4	0.000003058	128	3.14.2
vector	min	np.min(x)	10000	5	0.000003025	128	3.14.2
vector	min	np.min(x)	10000	6	0.000003040	128	3.14.2
vector	max	np.max(x)	10000	0	0.000003036	128	3.14.2
vector	max	np.max(x)	10000	1	0.000003037	128	3.14.2
vector	max	np.max(x)	10000	2	0.000003051	128	3.14.2
vector	max	np.max(x)	10000	3	0.000003032	128	3.14.2
vector	max	np.max(x)	10000	4	0.000003033	128	3.14.2
vector	max	np.max(x)	10000	5	0.000003014	128	3.14.2
vector	max	np.max(x)	10000	6	0.000003032	128	3.14.2
vector	mean	np.mean(x)	10000	0	0.000004290	152	3.14.2
vector	mean	np.mean(x)	10000	1	0.000004335	152	3.14.2
vector	mean	np.mean(x)	10000	2	0.000004331	152	3.14.2
vector	mean	np.mean(x)	10000	3	0.000004336	152	3.14.2
vector	mean	np.mean(x)	10000	4	0.000004335	152	3.14.2
vector	mean	np.mean(x)	10000	5	0.000004362	152	3.14.2
