figure	function	language	quantity	sizes	slope.all	slope.tail
frame	drop_duplicates	Python	seconds	6	0.683	1.026
frame	drop_duplicates	R	seconds	6	1.096	1.106
frame	transpose	Stats::LikeR	seconds	6	1.083	0.975
frame	transpose	Python	seconds	6	1.067	1.176
frame	transpose	R	seconds	6	0.899	0.965
frame	aoh2hoa	Stats::LikeR	seconds	6	0.923	0.749
frame	aoh2hoa	Python	seconds	6	0.947	0.999
vector	sum	Stats::LikeR	bytes	7	-0.000	-0.000
vector	sum	List::Util	bytes	7	0.958	0.999
vector	sum	Python	bytes	7	-0.000	-0.000
vector	sum	R	bytes	7	0.001	0.189
vector	min	Stats::LikeR	bytes	7	-0.000	-0.000
vector	min	List::Util	bytes	7	0.996	0.999
vector	min	Python	bytes	7	-0.000	-0.000
vector	min	R	bytes	7	-0.048	0.196
vector	max	Stats::LikeR	bytes	7	-0.000	-0.000
vector	max	List::Util	bytes	7	0.996	0.999
vector	max	Python	bytes	7	-0.000	-0.000
vector	max	R	bytes	7	-0.049	0.202
vector	mean	Stats::LikeR	bytes	7	-0.000	-0.000
vector	mean	Python	bytes	7	-0.000	-0.000
vector	mean	R	bytes	7	-0.042	0.211
vector	median	Stats::LikeR	bytes	7	1.066	1.033
vector	median	Python	bytes	7	0.959	0.998
vector	median	R	bytes	7	0.710	0.988
vector	sd	Stats::LikeR	bytes	7	-0.000	-0.000
vector	sd	Python	bytes	7	0.983	0.999
vector	sd	R	bytes	7	0.037	0.207
vector	var	Stats::LikeR	bytes	7	-0.000	-0.000
vector	var	Python	bytes	7	0.983	0.999
vector	var	R	bytes	7	0.041	0.216
vector	quantile	Stats::LikeR	bytes	7	1.057	1.006
vector	quantile	Python	bytes	7	0.948	0.998
vector	quantile	R	bytes	7	0.588	0.924
vector	cor	Stats::LikeR	bytes	7	1.068	1.016
vector	cor	Python	bytes	7	0.950	1.000
vector	cor	R	bytes	7	0.027	0.236
vector	cov	Stats::LikeR	bytes	7	1.028	1.032
vector	cov	Python	bytes	7	0.950	1.000
vector	cov	R	bytes	7	0.032	0.247
vector	skew	Stats::LikeR	bytes	7	-0.000	-0.000
vector	skew	Python	bytes	7	0.971	0.999
vector	kurtosis	Stats::LikeR	bytes	7	-0.000	-0.000
vector	kurtosis	Python	bytes	7	0.971	0.999
transform	rank	Stats::LikeR	bytes	7	0.966	1.022
transform	rank	Python	bytes	7	0.973	1.000
transform	rank	R	bytes	7	0.827	0.990
transform	uniq	Stats::LikeR	bytes	7	0.957	0.987
transform	uniq	Python	bytes	7	0.984	1.169
transform	uniq	R	bytes	7	0.776	0.925
transform	scale	Stats::LikeR	bytes	7	0.978	0.999
transform	scale	Python	bytes	7	0.983	0.999
transform	scale	R	bytes	7	0.834	0.834
transform	sample	Stats::LikeR	bytes	7	1.064	1.095
transform	sample	Python	bytes	7	1.155	0.999
transform	sample	R	bytes	7	0.539	0.923
transform	seq	Stats::LikeR	bytes	7	0.993	1.017
transform	seq	Python	bytes	7	0.998	1.000
transform	seq	R	bytes	7	0.030	-0.076
transform	auc	Stats::LikeR	bytes	7	0.994	1.011
transform	auc	Python	bytes	7	0.993	1.000
transform	auc	R	bytes	7	0.731	0.517
io	read_table (csv, numeric)	Stats::LikeR	bytes	6	1.008	1.002
io	read_table (csv, numeric)	Python	bytes	6	0.574	0.956
io	read_table (csv, numeric)	R	bytes	6	0.925	1.016
io	read_table (csv, mixed)	Stats::LikeR	bytes	6	1.008	1.004
io	read_table (csv, mixed)	Python	bytes	6	0.945	0.996
io	read_table (csv, mixed)	R	bytes	6	0.911	1.046
io	read_table (tsv, mixed)	Stats::LikeR	bytes	6	1.008	1.005
io	read_table (tsv, mixed)	Python	bytes	6	0.945	0.996
io	read_table (tsv, mixed)	R	bytes	6	0.912	1.047
io	read_table (csv, hoa)	Stats::LikeR	bytes	6	1.004	0.997
io	read_table (csv, hoa)	Python	bytes	6	0.739	0.977
io	read_table (csv, hoa)	R	bytes	6	0.913	1.047
io	read_table (xlsx)	Stats::LikeR	bytes	6	1.034	1.006
io	read_table (xlsx)	Python	bytes	6	0.841	0.993
io	read_table (xlsx)	R	bytes	6	0.800	0.815
io	write_table (csv, hoa)	Stats::LikeR	bytes	6	-0.053	-0.000
io	write_table (csv, hoa)	Python	bytes	6	0.441	0.003
io	write_table (csv, hoa)	R	bytes	6	0.033	0.110
io	write_table (tsv, hoa)	Stats::LikeR	bytes	6	-0.086	-0.000
io	write_table (tsv, hoa)	Python	bytes	6	0.441	0.003
io	write_table (tsv, hoa)	R	bytes	6	0.032	0.110
io	write_table (csv, aoa)	Stats::LikeR	bytes	6	0.000	-0.000
io	write_table (csv, aoa)	Python	bytes	6	0.441	0.003
io	write_table (csv, aoa)	R	bytes	6	0.073	0.119
io	write_table (csv, row.names)	Stats::LikeR	bytes	6	0.000	-0.000
io	write_table (csv, row.names)	Python	bytes	6	0.441	0.003
io	write_table (csv, row.names)	R	bytes	6	0.813	0.979
io	write_table (xlsx, hoa)	Stats::LikeR	bytes	6	1.037	1.006
io	write_table (xlsx, hoa)	Python	bytes	6	0.998	1.023
frame	filter	Stats::LikeR	bytes	6	1.235	1.144
frame	filter	Python	bytes	6	0.968	0.995
frame	filter	R	bytes	6	0.821	0.984
frame	select_cols	Stats::LikeR	bytes	6	0.000	-0.000
frame	select_cols	Python	bytes	6	-0.000	0.000
frame	select_cols	R	bytes	6	0.055	-0.341
frame	group_by + mean	Stats::LikeR	bytes	6	1.079	1.094
frame	group_by + mean	Python	bytes	6	0.950	0.995
frame	group_by + mean	R	bytes	6	0.407	0.721
frame	merge	Stats::LikeR	bytes	6	1.066	1.018
frame	merge	Python	bytes	6	0.464	0.928
frame	merge	R	bytes	6	0.888	0.938
frame	value_counts	Stats::LikeR	bytes	6	0.000	-0.000
frame	value_counts	Python	bytes	6	-0.025	-0.000
frame	value_counts	R	bytes	6	0.812	1.000
frame	drop_duplicates	Stats::LikeR	bytes	6	0.996	1.065
frame	drop_duplicates	Python	bytes	6	0.988	0.960
frame	drop_duplicates	R	bytes	6	0.797	0.515
frame	transpose	Stats::LikeR	bytes	6	1.046	1.192
frame	transpose	Python	bytes	6	0.999	1.000
frame	transpose	R	bytes	6	0.730	0.900
frame	aoh2hoa	Stats::LikeR	bytes	6	0.000	-0.000
frame	aoh2hoa	Python	bytes	6	0.990	0.999
